Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Signup already used email,Firefox 87.0,,,2021-04-12 12:34:07,2021-04-12 12:34:16,9.615s,PASSED
"openBrowser("""")",Firefox 87.0,,,2021-04-12 12:34:07,2021-04-12 12:34:13,5.638s,PASSED
"navigateToUrl(""http://localhost:8080/signup"")",Firefox 87.0,,,2021-04-12 12:34:13,2021-04-12 12:34:13,0.234s,PASSED
"setText(findTestObject(""Object Repository/Page_HE-F1/input_Username_username""), ""seb"")",Firefox 87.0,,,2021-04-12 12:34:13,2021-04-12 12:34:14,0.762s,PASSED
"setText(findTestObject(""Object Repository/Page_HE-F1/input_Email_email""), ""seb@gmail.com"")",Firefox 87.0,,,2021-04-12 12:34:14,2021-04-12 12:34:14,0.606s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_HE-F1/select_ManageurIngnieurMcanicien""), ""ENGINEER"", true)",Firefox 87.0,,,2021-04-12 12:34:14,2021-04-12 12:34:16,1.192s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_HE-F1/input_Password_password""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Firefox 87.0,,,2021-04-12 12:34:16,2021-04-12 12:34:16,0.347s,PASSED
"click(findTestObject(""Object Repository/Page_HE-F1/button_Register""))",Firefox 87.0,,,2021-04-12 12:34:16,2021-04-12 12:34:16,0.529s,PASSED
,,,,,,,
Test Cases/Signup bad email,Firefox 87.0,,,2021-04-12 12:34:16,2021-04-12 12:34:26,9.558s,PASSED
"openBrowser("""")",Firefox 87.0,,,2021-04-12 12:34:17,2021-04-12 12:34:22,5.594s,PASSED
"navigateToUrl(""http://localhost:8080/signup"")",Firefox 87.0,,,2021-04-12 12:34:22,2021-04-12 12:34:23,0.204s,PASSED
"setText(findTestObject(""Object Repository/Page_HE-F1/input_Username_username""), ""seb"")",Firefox 87.0,,,2021-04-12 12:34:23,2021-04-12 12:34:23,0.740s,PASSED
"setText(findTestObject(""Object Repository/Page_HE-F1/input_Email_email""), ""just seb"")",Firefox 87.0,,,2021-04-12 12:34:23,2021-04-12 12:34:24,0.613s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_HE-F1/select_ManageurIngnieurMcanicien""), ""ENGINEER"", true)",Firefox 87.0,,,2021-04-12 12:34:24,2021-04-12 12:34:25,1.212s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_HE-F1/input_Password_password""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Firefox 87.0,,,2021-04-12 12:34:25,2021-04-12 12:34:25,0.344s,PASSED
"click(findTestObject(""Object Repository/Page_HE-F1/button_Register""))",Firefox 87.0,,,2021-04-12 12:34:25,2021-04-12 12:34:26,0.570s,PASSED
,,,,,,,
Test Cases/Signup bad password,Firefox 87.0,,,2021-04-12 12:34:26,2021-04-12 12:34:36,9.772s,PASSED
"dtf = DateTimeFormatter.ofPattern(""yyyy/MM/dd-HH-mm-ss"")",Firefox 87.0,,,2021-04-12 12:34:26,2021-04-12 12:34:26,0.014s,PASSED
now = LocalDateTime.now(),Firefox 87.0,,,2021-04-12 12:34:26,2021-04-12 12:34:26,0.014s,PASSED
DATE = dtf.format(now),Firefox 87.0,,,2021-04-12 12:34:26,2021-04-12 12:34:26,0.001s,PASSED
"out.println(""my date UwU = "" + DATE)",Firefox 87.0,,,2021-04-12 12:34:26,2021-04-12 12:34:27,0.014s,PASSED
"openBrowser("""")",Firefox 87.0,,,2021-04-12 12:34:27,2021-04-12 12:34:32,5.622s,PASSED
"navigateToUrl(""http://localhost:8080/signup"")",Firefox 87.0,,,2021-04-12 12:34:32,2021-04-12 12:34:32,0.203s,PASSED
"setText(findTestObject(""Object Repository/Page_HE-F1/input_Username_username""), DATE)",Firefox 87.0,,,2021-04-12 12:34:32,2021-04-12 12:34:33,0.763s,PASSED
"setText(findTestObject(""Object Repository/Page_HE-F1/input_Email_email""), DATE + ""@gmail.com"")",Firefox 87.0,,,2021-04-12 12:34:33,2021-04-12 12:34:34,0.609s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_HE-F1/select_ManageurIngnieurMcanicien""), ""ENGINEER"", true)",Firefox 87.0,,,2021-04-12 12:34:34,2021-04-12 12:34:35,1.192s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_HE-F1/input_Password_password""), ""HeCM15nHKBI="")",Firefox 87.0,,,2021-04-12 12:34:35,2021-04-12 12:34:35,0.344s,PASSED
"click(findTestObject(""Object Repository/Page_HE-F1/button_Register""))",Firefox 87.0,,,2021-04-12 12:34:35,2021-04-12 12:34:36,0.569s,PASSED
,,,,,,,
Test Cases/Signup,Firefox 87.0,,,2021-04-12 12:34:36,2021-04-12 12:34:47,11.470s,PASSED
"dtf = DateTimeFormatter.ofPattern(""yyyy/MM/dd-HH-mm-ss"")",Firefox 87.0,,,2021-04-12 12:34:36,2021-04-12 12:34:36,0.001s,PASSED
now = LocalDateTime.now(),Firefox 87.0,,,2021-04-12 12:34:36,2021-04-12 12:34:36,0.001s,PASSED
DATE = dtf.format(now),Firefox 87.0,,,2021-04-12 12:34:36,2021-04-12 12:34:36,0.001s,PASSED
"out.println(""my date UwU = "" + DATE)",Firefox 87.0,,,2021-04-12 12:34:36,2021-04-12 12:34:36,0.000s,PASSED
"openBrowser("""")",Firefox 87.0,,,2021-04-12 12:34:36,2021-04-12 12:34:42,5.673s,PASSED
"navigateToUrl(""http://localhost:8080/signup"")",Firefox 87.0,,,2021-04-12 12:34:42,2021-04-12 12:34:42,0.207s,PASSED
"setText(findTestObject(""Object Repository/Page_HE-F1/input_Username_username""), DATE)",Firefox 87.0,,,2021-04-12 12:34:42,2021-04-12 12:34:43,0.773s,PASSED
"setText(findTestObject(""Object Repository/Page_HE-F1/input_Email_email""), DATE + ""@gmail.com"")",Firefox 87.0,,,2021-04-12 12:34:43,2021-04-12 12:34:43,0.633s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_HE-F1/select_ManageurIngnieurMcanicien""), ""ENGINEER"", true)",Firefox 87.0,,,2021-04-12 12:34:43,2021-04-12 12:34:45,1.220s,PASSED
"click(findTestObject(""Object Repository/Page_HE-F1/label_Spcialisation""))",Firefox 87.0,,,2021-04-12 12:34:45,2021-04-12 12:34:45,0.545s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_HE-F1/select_ManageurIngnieurMcanicien""), ""MANAGER"", true)",Firefox 87.0,,,2021-04-12 12:34:45,2021-04-12 12:34:46,1.170s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_HE-F1/input_Password_password""), ""RigbBhfdqOBGNlJIWM1ClA=="")",Firefox 87.0,,,2021-04-12 12:34:46,2021-04-12 12:34:47,0.369s,PASSED
"click(findTestObject(""Object Repository/Page_HE-F1/button_Register""))",Firefox 87.0,,,2021-04-12 12:34:47,2021-04-12 12:34:47,0.553s,PASSED
